ndc_clean,drug_name,img_path,disc,pill_id,split
2322830,ATOMOXETINE 25 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc109/ZE6YLGQVM5S1CK6YI_DLIDWGHZ8F8W.JPG,109,0,test
2322830,ATOMOXETINE 25 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc016/B0QZ_Z_IQWHX4RYF81U87HJ6AKFMPOG.JPG,16,0,train
2322830,ATOMOXETINE 25 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc043/BPUX9Q9TUHE7JWSG-0799AJKSI3_75S.JPG,43,0,train
2322830,ATOMOXETINE 25 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc046/BSDPRB6AA1-1RF0LE7Y5GD_R4OXFPF_.JPG,46,0,train
2322830,ATOMOXETINE 25 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc056/C0XGMU4AFBNYGKF!UH8QVA3N8MN63UD.JPG,56,0,val
2322930,ATOMOXETINE 40 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc016/B01H7J2X8MK0PP-6V16FINBQVP9H5FQ.JPG,16,1,train
2322930,ATOMOXETINE 40 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc020/B3W8Y0QK631ZZNY1S84U4!UC74OO1OZ.JPG,20,1,test
2322930,ATOMOXETINE 40 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc020/B4RC!VKCGAZU6Y2H-BEO18Y8_YMSA5U.JPG,20,1,train
2322930,ATOMOXETINE 40 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc053/BZQ7I_GKV9GMRPSKEK9F!CDHCDRTG_0.JPG,53,1,train
2322930,ATOMOXETINE 40 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc056/C1Z3F0NUH7980G2W!I39_V5N6SG!-PP.JPG,56,1,val
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc103/U7URT1A5H58YFJMA_G4HS!A7_N0SNY.JPG,103,2,train
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc030/BDBXV-CX!ESJZD_7P8_HZ1IV!223GVC.JPG,30,2,train
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc032/BFXYDR13C-_VKBLTNMO6A28P0AU9S07.JPG,32,2,train
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc037/BK3PPVLDL7ENIE7PUY5BL6FL8MMC4OY.JPG,37,2,train
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc056/C1RCV6PN2!VHTS35QEW_9E0F!TG00P6.JPG,56,2,val
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc005/2!L1I47YDFNP_ZSVNWN6W3-!0NWK80.JPG,5,2,test
2323560,DULOXETINE 20 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc080/CW6GRIQ4Z9J-NFUQ9NRY7F!2RCNXZPR.JPG,80,2,test
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc041/BNWIS3VL!VRL!_5F9PJL17TUF3IFPLU.JPG,41,3,test
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc047/BT9-0-K6JRJ9E6-SDC2JB-SNICCZZ8G.JPG,47,3,train
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc053/BZ5-8OIRQZK!!SM!WM2Z3M1M3CXUPJ0.JPG,53,3,train
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc066/CILC4L6OREFAEQA7UL0HZCDCLFWKZEX.JPG,66,3,train
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc068/CKQDB5V0_4FXLEIJOR_MO7ZNN5M!1K5.JPG,68,3,train
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc076/CRX129ZI8QJTHRVKWNC0ZJ72335OPXD.JPG,76,3,val
2323830,ATOMOXETINE 18 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc085/CZYTFHR1AR8Z0RF17CROQIIUM-GCMTQ.JPG,85,3,test
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc036/BJ7ICW9MJ3886LWBUVSUEK1VXKX-UVA.JPG,36,4,train
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc041/BOAK4AHLUQXA29W5IXY1LJJYKCAPISA.JPG,41,4,val
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc041/BO!AKL7CJCXT2IRI2LBWQH4UJMMPC-8.JPG,41,4,train
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc048/BV-VZAAOVGF0MQAZ5A-WR2LEL7TP3GW.JPG,48,4,train
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc052/BY-IUU_27_Z8GMAFWRRFRATQ6M7CAFJ.JPG,52,4,test
2323930,ATOMOXETINE 60 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc053/BZL1KBLQGQ632A9I!VSEDPVMMWIF4TX.JPG,53,4,train
2324030,DULOXETINE 30 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc109/ZXMF_PD3FMH1164RYW0B8AP!0H8VXQ.JPG,109,5,val
2324030,DULOXETINE 30 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc016/B03VPZ46WAIHW7CFH6FBVEUSI8GEXFK.JPG,16,5,train
2324030,DULOXETINE 30 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc024/B8I9__IM_6QZG56QA-UAFAPWL-JE-H1.JPG,24,5,test
2324030,DULOXETINE 30 MG DELAYED RELEASE ORAL CAPSULE [CYMBALTA],data/consumer_512px/disc034/BHGUS8Z44L11VG8UMP22FQZ48DCXMY.JPG,34,5,train
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc108/YBMUBOW!R9A_L6DAHR_BFJHZZVC1C0.JPG,108,6,train
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc025/B9731HKTXW5O_7O1AGIZDTND8X0YBY-.JPG,25,6,train
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc031/BE78F976-Q3A4O1LHT3_7KE0!0LOW!X.JPG,31,6,train
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc068/CKA-TRAX-LLYK6Z65T4JWKJMGPUD730.JPG,68,6,val
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc080/CVVEGGRLTGKV1RW!R8AAFBFU7Y17RRV.JPG,80,6,train
2325030,ATOMOXETINE 80 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc008/576W!MTCQ1JR7!C-8NRCZP-9671C1H.JPG,8,6,test
2325130,ATOMOXETINE 100 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc100/R9I01TKWHMUN-3FYKJC8HR6-4TWWJG.JPG,100,7,val
2325130,ATOMOXETINE 100 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc103/TKW9IKY8-2HPRXK3FKW8P5Z67BXPGR.JPG,103,7,test
2325130,ATOMOXETINE 100 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc103/U-G8_H7ZYHO64XEEZ_0-F02AGMINCK.JPG,103,7,test
2325130,ATOMOXETINE 100 MG ORAL CAPSULE [STRATTERA],data/consumer_512px/disc030/BE37PA3M1D_NHZ4!YV_57HGTT2SEJ6P.JPG,30,7,train
