ndc_clean,shape,colors,imprint,size_mm
63459050230,BULLET,WHITE,ACTIQ;200,19
63459050430,BULLET,WHITE,ACTIQ;400,19
63459050630,BULLET,WHITE,ACTIQ;600,19
63459050830,BULLET,WHITE,ACTIQ;800,19
63459051230,BULLET,WHITE,ACTIQ;1200,19
63459051630,BULLET,WHITE,ACTIQ;1600,19
00093031101,CAPSULE,"BROWN, ORANGE",93;311;93;311,14
00093316501,CAPSULE,PINK,93;3165;93;3165,16
00093081001,CAPSULE,"WHITE, ORANGE",10;mg;93;810,16
00093081101,CAPSULE,"WHITE, ORANGE",25;mg;93;811,14
00093081201,CAPSULE,WHITE,50;mg;93;812,19
00093081301,CAPSULE,ORANGE,75;mg;93;813,19
00185061501,CAPSULE,"GREEN, WHITE",E615,15
00185061301,CAPSULE,"GREEN, GREEN",E613,15
00603385521,CAPSULE,BLUE,V;3566,14
53489011802,CAPSULE,"BLUE, WHITE",MUTUAL;100;MUTUAL;100,18
53489011902,CAPSULE,BLUE,MUTUAL;105; MUTUAL;105,22
00591544050,CAPSULE,BLUE,DAN;5440;DAN;5440,22
00781282313,CAPSULE,"WHITE, GREEN",GG;575;GG;575,16
00781282213,CAPSULE,"WHITE, GREEN",GG;550,16
00781282410,CAPSULE,"WHITE, ORANGE",GG540,19
00781207401,CAPSULE,"WHITE, BLACK",GG;606;GG;606,14
00093314701,CAPSULE,ORANGE,93;3147;93;3147,21
00093435601,CAPSULE,BLUE,4356;20;mg,16
00378435093,CAPSULE,"BLUE, WHITE",MYLAN;4350;MYLAN;4350,22
00378014301,CAPSULE,GREEN,MYLAN;143;MYLAN;143,16
00378101001,CAPSULE,GREEN,MYLAN;1010;MYLAN;1010,17
00228277911,CAPSULE,YELLOW,R;2779;R;2779,16
00228278011,CAPSULE,"YELLOW, GRAY",R;2780;R;2780,18
00093310905,CAPSULE,BROWN,93;3109;93;3109,22
00093314501,CAPSULE,"GRAY, RED",93;3145;93;3145,17
00378104901,CAPSULE,WHITE,MYLAN;1049;MYLAN;1049,14
00228257903,CAPSULE,"GREEN, GRAY",R;2579;R;2579,23
00378161001,CAPSULE,TURQUOISE,MYLAN;1610:MYLAN;1610,14
00228258803,CAPSULE,GRAY,R;2588;R;2588,18
63304069301,CAPSULE,BLUE,RX693;RX693,22
59762501001,CAPSULE,TURQUOISE,G;300;mg;5010,22
00093525668,CAPSULE,BLUE,93;5256;93;5256,22
00143312601,CAPSULE,BLUE,West-ward;3126,14
49884072601,CAPSULE,"WHITE, WHITE",par;726;par;726,15
51672401601,CAPSULE,PINK,ETO;200;MG;ETO;200;MG,22
60505014500,CAPSULE,"PINK, PINK",APO;010,14
62037064030,CAPSULE,GREEN,Andrx;640;40;mg,21
00093075601,CAPSULE,GREEN,93;756;93;756,18
63304069501,CAPSULE,GRAY,RX695;RX695,16
00093316753,CAPSULE,"RED, PINK",93;3167;93;3167,18
00591578901,CAPSULE,GREEN,NORTRIPTYLINE;DAN;75;mg,19
00591578601,CAPSULE,"GREEN, WHITE",NORTRIPTYLINE;DAN;10;mg,16
53746010101,CAPSULE,WHITE,IP;101;IP;101,16
00228266611,CAPSULE,"YELLOW, ORANGE",R;2666;R;2666,19
00228266711,CAPSULE,"ORANGE, ORANGE",R;667;R;667,21
65862011301,CAPSULE,BLUE,D;26,14
00093403001,CAPSULE,GREEN,Z;4030;Z;4030,19
51672411101,CAPSULE,ORANGE,TARO;PHN;100;TARO;PHN;100,16
00228277811,CAPSULE,"YELLOW, WHITE",R;2778;R;2778,16
16252057030,CAPSULE,"WHITE, YELLOW",RP;1;25,14
00054010925,CAPSULE,BLUE,54;602;54;602,14
00378253701,CAPSULE,"GREEN, YELLOW",MYLAN;2537;MYLAN;2537,14
00093894001,CAPSULE,BLUE,N;940;200,19
59762332801,CAPSULE,"BLUE, GREEN",G;150;mg;3328,20
00781211201,CAPSULE,TURQUOISE,cor;153;cor;153,18
00093317101,CAPSULE,"RED, BLUE",93;3171;93;3171,19
00591570801,CAPSULE,"GRAY, PINK",DAN;5708;DAN;5708,19
59762502601,CAPSULE,WHITE,G;5026,16
00378226401,CAPSULE,"BLACK, PURPLE",MYLAN;2264;MYLAN;2264,16
51079087620,CAPSULE,BLUE,N;940;200,20
68180012201,CAPSULE,"GREEN, GREEN",500;LUPIN;500;LUPIN,22
51079011820,CAPSULE,TURQUOISE,MYLAN;1610;MYLAN;1610,14
00603326521,CAPSULE,BLUE,LANNETT;0585,14
62584097590,CAPSULE,"BLUE, GREEN",R;2577;R;2577,22
62584097601,CAPSULE,GREEN,R;2578;R;2578,23
60505021203,CAPSULE,"BLUE, GREEN",APO;240,19
10135014901,CAPSULE,"PINK, WHITE",SP;2C,14
51079043620,CAPSULE,WHITE,MYLAN;1049;MYLAN;1049,14
00904126161,CAPSULE,"YELLOW, WHITE",MYLAN;3125;MYLAN;3125,16
51079043820,CAPSULE,YELLOW,MYLAN;4250;MYLAN;4250,18
51079099720,CAPSULE,"WHITE, ORANGE",MYLAN;4210;MYLAN;4210,16
68084007965,CAPSULE,"BROWN, WHITE",R;665;R;665,16
51079007720,CAPSULE,"YELLOW, RED",barr;323;25,16
51079007820,CAPSULE,"YELLOW, RED",barr;302;50,16
00093402901,CAPSULE,GREEN,Z;4029;Z;4029,16
51079019019,CAPSULE,GREEN,MYLAN;143;MYLAN;143,16
62175013632,CAPSULE,YELLOW,KU;136,22
51079074220,CAPSULE,"GREEN, GREEN",MYLAN;1010;MYLAN;1010,18
51079058420,CAPSULE,BROWN,MYLAN;1650;MYLAN;1650,18
51079058520,CAPSULE,GRAY,MYLAN;1700;MYLAN;1700,17
00904064460,CAPSULE,"BLACK, YELLOW",TCL;1222,19
59746038306,CAPSULE,GRAY,TL;383;TL;383,16
51079093620,CAPSULE,"YELLOW, PURPLE",MYLAN;2260;MYLAN;2260,16
59746038406,CAPSULE,WHITE,TL;384;TL;384,16
51079093720,CAPSULE,"BLACK, PURPLE",MYLAN;2264;MYLAN;2264,16
00591223501,CAPSULE,"BLACK, YELLOW",barr;010,22
00182067989,CAPSULE,"BLACK, YELLOW",Z;2407,23
58060000201,CAPSULE,BLUE,,21
00032121201,CAPSULE,BROWN,CREON;1212,18
66424002001,CAPSULE,"PINK, WHITE",PH014;PH014,14
55111034101,CAPSULE,"GRAY, WHITE",RDY;341,19
55111033901,CAPSULE,"YELLOW, WHITE",RDY;339,19
59762102001,CAPSULE,"BLUE, PINK",A44,19
10337081506,CAPSULE,ORANGE,ADOXA;150mg,23
55111034001,CAPSULE,"RED, WHITE",RDY;340,19
00597000160,CAPSULE,"RED, WHITE",01A,24
61442011101,CAPSULE,"BLUE, WHITE",200;CTI;111,19
54092017212,CAPSULE,"GRAY, GREEN",Shire;CARBATROL;200;mg,20
